                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74203,                 1.0711,                 1.0238,                0.86919,                0.89692,                0.92369,                0.76216,                0.62636,                0.56684,                0.94537,              0.0033267,              0.0033267,              0.0033267
                      2,                 0.7863,                0.65584,                 1.0253,                 0.8728,                0.80538,                0.88692,                0.69068,                0.76882,                0.69996,                  1.024,              0.0065941,              0.0065941,              0.0065941
                      3,                0.93305,                0.80188,                 1.0957,                0.78482,                0.73853,                0.79378,                0.56457,                0.98781,                0.90216,                 1.1801,              0.0097955,              0.0097955,              0.0097955
                      4,                 1.0264,                0.90943,                 1.1542,                0.81612,                0.76203,                0.81443,                0.59332,                0.93502,                 0.9222,                 1.1352,               0.009703,               0.009703,               0.009703
                      5,                 1.0063,                0.84879,                 1.1462,                0.84217,                0.80585,                0.87417,                0.65261,                0.87845,                0.77507,                 1.0982,               0.009604,               0.009604,               0.009604
                      6,                0.97377,                0.79426,                 1.1332,                0.86588,                0.82682,                 0.8897,                0.67644,                0.85805,                0.67319,                 1.0925,               0.009505,               0.009505,               0.009505
                      7,                0.92838,                0.74835,                 1.1078,                0.83327,                0.83619,                 0.8849,                0.68343,                0.82557,                0.66724,                 1.0685,               0.009406,               0.009406,               0.009406
                      8,                0.89885,                0.71519,                 1.0935,                0.89971,                0.81812,                0.89768,                0.71074,                 0.7784,                0.62402,                 1.0535,               0.009307,               0.009307,               0.009307
                      9,                0.89059,                0.69384,                 1.0911,                0.87819,                 0.7759,                0.85516,                0.65287,                0.83281,                0.74973,                 1.0711,               0.009208,               0.009208,               0.009208
                     10,                0.85519,                0.66199,                  1.072,                0.89706,                0.86041,                0.91806,                0.72814,                0.74568,                  0.576,                 1.0325,               0.009109,               0.009109,               0.009109
                     11,                0.85262,                0.64592,                 1.0714,                0.90974,                0.87046,                0.92732,                0.74596,                0.73022,                0.53699,                 1.0289,                0.00901,                0.00901,                0.00901
                     12,                0.82358,                0.62084,                 1.0587,                0.89914,                0.88221,                0.93077,                0.75283,                0.70172,                0.53477,                 1.0047,               0.008911,               0.008911,               0.008911
                     13,                0.80791,                0.60176,                 1.0462,                 0.9068,                 0.8795,                0.92639,                0.75139,                0.68711,                0.52414,                0.99602,               0.008812,               0.008812,               0.008812
                     14,                0.79547,                0.60039,                 1.0382,                0.90152,                0.88759,                0.92885,                0.75853,                0.69547,                0.51867,                 1.0036,               0.008713,               0.008713,               0.008713
                     15,                0.77471,                0.56673,                 1.0318,                0.89786,                0.89063,                0.92985,                 0.7617,                0.67609,                0.50732,                0.99643,               0.008614,               0.008614,               0.008614
                     16,                0.77528,                0.55867,                 1.0342,                0.90859,                0.89145,                0.93562,                0.77734,                0.64886,                0.48358,                0.97685,               0.008515,               0.008515,               0.008515
                     17,                0.76525,                0.55174,                 1.0206,                0.91632,                0.88612,                0.93811,                0.78034,                 0.6588,                0.48977,                0.97911,               0.008416,               0.008416,               0.008416
                     18,                0.74724,                0.53528,                 1.0133,                0.91529,                0.88216,                  0.934,                0.77707,                0.64793,                0.48441,                0.97964,               0.008317,               0.008317,               0.008317
                     19,                0.74006,                0.52386,                 1.0066,                0.91783,                0.88544,                0.93728,                0.77719,                0.65792,                0.47764,                0.98535,               0.008218,               0.008218,               0.008218
                     20,                0.73949,                0.52075,                 1.0098,                0.92337,                 0.8991,                0.94124,                0.78834,                0.63678,                0.45585,                0.97344,               0.008119,               0.008119,               0.008119
                     21,                0.72603,                0.51718,                 1.0053,                0.91318,                0.90465,                0.94268,                0.79237,                0.62849,                0.45369,                0.97062,                0.00802,                0.00802,                0.00802
                     22,                0.71363,                0.51086,                0.99599,                0.91274,                0.89886,                0.94359,                0.79134,                0.63136,                0.45255,                0.97218,               0.007921,               0.007921,               0.007921
                     23,                0.71325,                0.50121,                0.99492,                0.92202,                 0.9017,                0.94821,                0.80442,                0.61375,                0.43637,                 0.9718,               0.007822,               0.007822,               0.007822
                     24,                 0.7004,                0.49334,                0.99345,                0.91974,                 0.9153,                0.94552,                0.80329,                0.60505,                0.43347,                0.96648,               0.007723,               0.007723,               0.007723
                     25,                0.69222,                 0.4822,                0.98938,                0.91777,                0.90127,                0.94357,                0.80618,                0.59648,                0.42909,                0.95981,               0.007624,               0.007624,               0.007624
                     26,                0.68798,                0.47666,                0.98531,                0.92335,                0.90882,                0.94859,                0.80383,                0.60207,                0.42643,                0.95501,               0.007525,               0.007525,               0.007525
                     27,                0.67434,                0.46719,                0.97361,                0.93289,                0.90069,                0.94939,                0.80968,                0.59634,                0.41547,                0.95104,               0.007426,               0.007426,               0.007426
                     28,                0.66603,                0.46149,                0.97514,                0.92403,                0.91532,                0.95107,                0.81254,                0.59163,                 0.4186,                0.96037,               0.007327,               0.007327,               0.007327
                     29,                0.66995,                0.45827,                0.97456,                 0.9332,                0.91197,                0.94981,                0.81688,                0.58657,                 0.4106,                0.95455,               0.007228,               0.007228,               0.007228
                     30,                0.66837,                0.45556,                0.97116,                0.93251,                0.91361,                0.95203,                0.81662,                0.58494,                0.40374,                0.94836,               0.007129,               0.007129,               0.007129
                     31,                0.65185,                0.44518,                0.95908,                0.91589,                0.92254,                0.95165,                0.81802,                0.57704,                0.39745,                 0.9454,                0.00703,                0.00703,                0.00703
                     32,                0.64892,                0.44132,                0.96132,                0.92757,                0.92341,                0.95292,                 0.8196,                0.58185,                0.39273,                0.95985,               0.006931,               0.006931,               0.006931
                     33,                0.64888,                0.43395,                0.96322,                 0.9309,                0.91725,                0.95082,                 0.8211,                0.57456,                0.39864,                0.94457,               0.006832,               0.006832,               0.006832
                     34,                0.64287,                0.43594,                0.95713,                 0.9282,                0.92593,                0.95156,                0.82328,                0.56941,                0.38549,                 0.9396,               0.006733,               0.006733,               0.006733
